Thui Bhu, 100, 90, 80, 100, 89, 99, 88 
Ariana B. Smith, 90, 90, 100, 100, 99, 100, 95 
Emily Gonzales, 100, 90, 100, 70, 78, 78, 80 
Jennifer L, 80, 90, 90, 100, 89, 99, 85 
Maria Jones, 65, 72, 77, 68, 62, 70, 65
Bill Gates, 60, 54, 38, 62, 65, 60, 50
Escobar Morris, 83, 77, 88, 76, 79, 72, 76
Anne Latner, 80, 80, 85, 95, 90, 95, 90
Barry Bonds, 100, 90, 80, 100, 89, 99, 88 
Michael Jackson, 90, 90, 100, 100, 99, 100, 95 
Tony Hernandez, 100, 90, 100, 70, 78, 78, 80 
Buster Posey, 80, 90, 90, 100, 89, 99, 85 
Touchdown Jones, 65, 72, 77, 68, 62, 70, 65
Michael Jordan, 60, 54, 38, 62, 65, 60, 50
Joe Panik, 83, 77, 88, 76, 79, 72, 76
Hunter Pence, 80, 80, 85, 95, 90, 95, 90
Thui Bhu, 100, 90, 80, 100, 89, 99, 88 
Ariana B. Smith, 90, 90, 100, 100, 99, 100, 95 
Emily Gonzales, 100, 90, 100, 70, 78, 78, 80 
Jennifer L, 80, 90, 90, 100, 89, 99, 85 
Maria Jones, 65, 72, 77, 68, 62, 70, 65
Bill Gates, 60, 54, 38, 62, 65, 60, 50
Escobar Morris, 83, 77, 88, 76, 79, 72, 76
Anne Latner, 80, 80, 85, 95, 90, 95, 90
Barry Bonds, 100, 90, 80, 100, 89, 99, 88 
Michael Jackson, 90, 90, 100, 100, 99, 100, 95 
Tony Hernandez, 100, 90, 100, 70, 78, 78, 80 
Buster Posey, 80, 90, 90, 100, 89, 99, 85 
Touchdown Jones, 65, 72, 77, 68, 62, 70, 65
Michael Jordan, 60, 54, 38, 62, 65, 60, 50
Joe Panik, 83, 77, 88, 76, 79, 72, 76
Hunter Pence, 80, 80, 85, 95, 90, 95, 90
Thui Bhu, 100, 90, 80, 100, 89, 99, 88 
Ariana B. Smith, 90, 90, 100, 100, 99, 100, 95 
Emily Gonzales, 100, 90, 100, 70, 78, 78, 80 
Jennifer L, 80, 90, 90, 100, 89, 99, 85 
Maria Jones, 65, 72, 77, 68, 62, 70, 65
Bill Gates, 60, 54, 38, 62, 65, 60, 50
Escobar Morris, 83, 77, 88, 76, 79, 72, 76
Anne Latner, 80, 80, 85, 95, 90, 95, 90
Barry Bonds, 100, 90, 80, 100, 89, 99, 88 
Michael Jackson, 90, 90, 100, 100, 99, 100, 95 
Tony Hernandez, 100, 90, 100, 70, 78, 78, 80 
Buster Posey, 80, 90, 90, 100, 89, 99, 85 
Touchdown Jones, 65, 72, 77, 68, 62, 70, 65
Michael Jordan, 60, 54, 38, 62, 65, 60, 50
Joe Panik, 83, 77, 88, 76, 79, 72, 76
Hunter Pence, 80, 80, 85, 95, 90, 95, 90
